"1","Settings","#","0","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 04:14:15","2019-03-28 11:21:00"
"2","Operation","#","0","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 06:17:15","2019-03-28 07:17:17"
"3","Report","#","0","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB",NULL,NULL
"4","MENU","#","1","0",NULL,NULL,NULL
"5","ADD MENU","/menu/create","1","4",NULL,NULL,NULL
"6","MENU LIST","/menu/index","1","4",,"2019-03-28 10:18:52","2019-03-28 10:18:52"
"7","MANAGE USER","#","1","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:19:42","2019-03-28 10:19:42"
"8","ADD USER","/create","1","7","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:20:09","2019-03-28 10:20:09"
"9","USER LIST","/user-list","1","7","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:20:42","2019-03-28 10:20:42"
"10","CENTER TYPE","/center-type-add","1","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:21:49","2019-03-28 10:21:49"
"11","CENTER","/center-add","1","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:22:10","2019-03-28 10:22:10"
"12","Visa","/visa","1","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:22:53","2019-03-28 10:22:53"
"13","DESIGNATION","/designation/add","1","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:23:16","2019-03-28 10:23:16"
"14","STICKER","/sticker","1","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:23:38","2019-03-28 10:23:38"
"15","ENTRY / EXIT PORT","/entry-exit-port","1","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:24:03","2019-03-28 10:24:03"
"16","AREA","/area","1","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:24:26","2019-03-28 10:24:26"
"17","TRANSPORT MODE","/mode","1","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:24:46","2019-03-28 10:24:46"
"18","Services","/services","1","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:26:04","2019-03-28 10:26:04"
"19","Currency Rate","/currency","1","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:33:49","2019-03-28 10:33:49"
"20","R.A.P. / P.A.P.","#","2","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:34:45","2019-03-28 10:34:45"
"21","ADD R.A.P. / P.A.P.","/rap/pap/1/2/3/m","2","20","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:35:21","2019-03-28 10:35:21"
"22","EDIT R.A.P / P.A.P","/rap/pap/edit/search/passport","2","20","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:35:48","2019-03-28 10:35:48"
"23","R.A.P. / P.A.P. APPROVAL","/print","2","20","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:36:15","2019-03-28 10:36:15"
"24","R.A.P. / P.A.P.  APPROVAL EDIT","/edit","2","20","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:36:45","2019-03-28 10:36:45"
"25","R.A.P/P.A.P BASIC PRINT","/hci/basic/print","2","20","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:37:11","2019-03-28 10:37:11"
"26","IMPORT R.A.P. / P.A.P.","/import/data","2","20","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:37:38","2019-03-28 10:37:38"
"27","EXPORT R.A.P. / P.A.P.","/export/data","2","20","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:38:08","2019-03-28 10:38:08"
"28","RECEIVE FROM HCI","/search","2","20","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:38:46","2019-03-28 10:38:46"
"31","R.A.P. /P.A.P. Report","#","3","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:41:59","2019-03-28 10:41:59"
"32","R.A.P. / P.A.P. RECEIVE DETAILS","/rappap/report","3","31","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:43:15","2019-03-28 10:43:15"
"33","R.A.P. / P.A.P. RECEIVE SUMMARY","/receive-summary-report","3","31","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:44:40","2019-03-28 10:44:40"
"34","R.A.P. /P.A.P. APPROVAL DETAILS","/approve/report","3","31","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:47:43","2019-03-28 10:47:43"
"35","R.A.P. / P.A.P. APPROVAL SUMMARY","/port-update-report","3","31","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:48:09","2019-03-28 10:48:09"
"36","R.A.P / P.A.P REPRINT","/passport-reprint","2","20","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:48:39","2019-03-28 10:48:39"
"37","Port Endorsement","#","2","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:49:08","2019-03-28 10:49:08"
"38","Add Port Endorsement","/portendorsement/1/2/3/4","2","37","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:50:41","2019-03-28 10:50:41"
"39","Dollar Endorsement","#","2","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:50:58","2019-03-28 10:50:58"
"40","Add Dollar Endorsement","/dollar_endorsement","2","39","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:51:24","2019-03-28 10:51:24"
"41","Edit Dollar Endorsement","/edit-dollar-endorsement","2","39","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:51:51","2019-03-28 10:51:51"
"42","Reprint","/reprint-dollar-endorsement","2","39","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:52:23","2019-03-28 10:52:23"
"43","Export Dollar Endorsement","/export-dollar-endorsement","2","39","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:53:01","2019-03-28 10:53:01"
"44","Import Appointment","/import-appointment","2","39","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:53:45","2019-03-28 10:53:45"
"45","Foreign Passport","#","2","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:54:05","2019-03-28 10:54:05"
"46","Add Foreign Passport","/foreign-passport-receive","2","45","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:54:27","2019-03-28 10:54:27"
"47","Dollar Endorsement Report","#","3","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:56:19","2019-03-28 10:56:19"
"48","Dollar Endorsement Details","/dollar-endorsement-details","3","47","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:56:40","2019-03-28 10:56:40"
"49","Dollar Endorsement Summary","/dollar-endorsement-summary","3","47","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-03-28 10:57:16","2019-03-28 10:57:16"
"52","SBI Branch Details","/branch-name","1","0","HQ,BR","2019-03-31 16:11:19","2019-03-31 16:11:19"
"53","Reprint Port Endorsement","/portendorsement/re_print","2","37","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-04-01 10:46:02","2019-04-01 10:46:02"
"54","Enquiry Dollar Endorsement","/enquiry-dollar","3","47","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-04-03 10:30:25","2019-04-03 10:30:25"
"55","Delete Dollar Endorsement","/delete-dollar","2","39","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-04-13 15:46:49","2019-04-13 15:46:49"
"56","Delete R.A.P./P.A.P","/delete-rappap","2","20","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-04-15 11:55:21","2019-04-15 11:55:21"
"58","Dollar Referred By","/dollarendorsement-reference-by","1","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-04-25 11:00:11","2019-04-25 11:00:11"
"59","Referred Details Report","/referred-details","3","47","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-04-25 12:26:43","2019-04-25 12:26:43"
"60","Referred Summary Report","/referred-summary","3","47","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-04-25 13:55:00","2019-04-25 13:55:00"
"61","Foreign Passport Report","#","3","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-04-30 11:28:52","2019-04-30 11:28:52"
"62","Visa fee collection Report","/visa-fee-collection-report","3","61","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-04-30 11:31:25","2019-04-30 11:31:25"
"63","Money receipt Book","/money-receive-book","1","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-05-06 12:24:51","2019-05-06 12:24:51"
"64","Edit Foreign Passport","/edit-receive-foreign-passport","2","45","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-05-08 10:01:29","2019-05-08 10:01:29"
"65","Account Type","/account-type","1","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-05-09 10:30:26","2019-05-09 10:30:26"
"66","Add Commission","/add-commission","1","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-05-09 11:21:56","2019-05-09 11:21:56"
"67","Foreign Passport Details Report","/foreign-details-report","3","61","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-05-11 10:39:19","2019-05-11 10:39:19"
"68","Foreign Passport Summary Report","/foreign-summary","3","61","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-05-11 12:58:34","2019-05-11 12:58:34"
"69","Delete Foreign Passport","/delete-foreign-passport","2","45","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-05-12 09:22:34","2019-05-12 09:22:34"
"70","Reprint Foreign Passport","/reprint-foreign-passport","2","45","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-05-12 10:56:25","2019-05-12 10:56:25"
"71","Port Endorsement Report","#","3","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-05-14 09:20:41","2019-05-14 09:20:41"
"72","Details Report","/port-details-report","3","71","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-05-14 09:22:35","2019-05-14 09:22:35"
"73","Summary Report","/port-summary-report","3","71","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-05-14 09:23:33","2019-05-14 09:23:33"
"74","Holidays","/add-holiday","1","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-05-14 13:05:56","2019-05-14 13:05:56"
"76","Del2App-ADS","/delivery_to_app","2","20","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-05-20 12:05:27","2019-05-20 12:05:27"
"77","Visa Duration","/add-duration","1","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-05-20 15:49:45","2019-05-20 15:49:45"
"78","Entry Type","/add-entry-type","1","0","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-05-21 09:35:50","2019-05-21 09:35:50"
"79","Edit Port Endorsement","/edit-port-endorsement","2","37","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-05-26 09:28:03","2019-05-26 09:28:03"
"80","Delete Port Endorsement","/delete_portendorsement","2","37","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-05-26 10:04:21","2019-05-26 10:04:21"
"81","Del2App-ADS","/port-delivery-to-app","2","37","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-05-28 10:47:23","2019-05-28 10:47:23"
"82","Del2App-ADS","/foreign-delivery-to-app","2","45","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-05-28 11:26:50","2019-05-28 11:26:50"
"83","Ready Center R.a.p/p.a.p","/rappap-ready-center","2","20","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-05-30 09:51:10","2019-05-30 09:51:10"
"84","Ready Center Port","/port-ready-center","2","37","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-05-30 09:54:57","2019-05-30 09:54:57"
"86","Del2App Details Report","/foreign-passport-del-app-details","3","61","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-06-10 09:30:27","2019-06-10 09:30:27"
"87","del2app summary report","/foreign-del-app-summary","3","61","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-06-10 10:04:18","2019-06-10 10:04:18"
"88","del2app details report","/port-del-app-detail","3","71","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-06-10 10:24:47","2019-06-10 10:24:47"
"89","del2app summary report","/port-del-app-summary","3","71","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-06-10 10:40:48","2019-06-10 10:40:48"
"90","del2app details report","/rappap-del-app-details","3","31","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-06-10 10:57:40","2019-06-10 10:57:40"
"91","del2app summary report","/rappap-del-app-summary","3","31","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-06-10 11:17:55","2019-06-10 11:17:55"
"92","ready centre-ads","/foreign-ready-center","2","45","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-06-10 11:35:34","2019-06-10 11:35:34"
"93","Ready Centre details report","/foreign-ready-center-detail","3","61","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-06-10 15:04:15","2019-06-10 15:04:15"
"94","ready centre summary report","/foreign-ready-summary","3","61","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-06-10 15:22:41","2019-06-10 15:22:41"
"95","Ready Centre summary report","/port-ready-center-summary","3","71","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-06-11 11:34:53","2019-06-11 11:34:53"
"96","Ready centre Details Report","/port-ready-center-details","3","71","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-06-11 11:37:26","2019-06-11 11:37:26"
"97","Ready Centre Details Report","/rappap-ready-center-details","3","31","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-06-11 12:02:11","2019-06-11 12:02:11"
"98","Ready Centre Summary Report","/rappap-ready-center-summary","3","31","HQ,BR,HCI,HCI-PE,HCI-RAP_PAP,WEB","2019-06-11 12:03:30","2019-06-11 12:03:30"
